datetime,PM2.5,NO2,SO2,wind_speed,wind_direction,humidity,temperature,pressure,solar_radiation,rainfall,PM10,hour_sin,hour_cos,month_sin,month_cos,day_sin,day_cos,u_wind,v_wind,PM2.5_lag_1,PM2.5_lag_2,PM2.5_lag_6,PM2.5_lag_12,PM2.5_lag_24,PM2.5_roll_mean_3h,PM2.5_roll_std_3h,PM2.5_roll_mean_24h,PM10_lag_1,PM10_lag_2,PM10_lag_6,PM10_lag_12,PM10_lag_24,PM10_roll_mean_3h,PM10_roll_std_3h,PM10_roll_mean_24h,temperature_lag_1,temperature_lag_2,temperature_lag_6,temperature_lag_12,temperature_lag_24,temperature_roll_mean_3h,temperature_roll_std_3h,temperature_roll_mean_24h,humidity_lag_1,humidity_lag_2,humidity_lag_6,humidity_lag_12,humidity_lag_24,humidity_roll_mean_3h,humidity_roll_std_3h,humidity_roll_mean_24h,wind_speed_lag_1,wind_speed_lag_2,wind_speed_lag_6,wind_speed_lag_12,wind_speed_lag_24,wind_speed_roll_mean_3h,wind_speed_roll_std_3h,wind_speed_roll_mean_24h
2025-08-15 05:00:00,8.307253190060443,57.691940899932845,32.32,0.0,225.485,77.14500000000001,27.585,1011.05,118.015,255.97000000000003,14.55,0.9659258262890683,0.25881904510252074,-0.8660254037844385,-0.5000000000000004,-0.433883739117558,-0.9009688679024191,0.0,0.0,8.307253190060443,8.307253190060443,8.307253190060443,8.307253190060443,8.307253190060443,8.307253190060443,0.0,8.307253190060443,14.55,14.55,14.55,14.55,14.55,14.55,1.4544479884549929e-06,14.55,27.73,27.81,28.64,30.11,31.32,27.915833333333335,0.31010347735311916,30.341458333333332,76.93,76.78,75.19,68.67,67.92,76.40916666666666,0.690683839876881,70.105625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008333333333333334
2025-08-15 05:30:00,8.307253190060443,57.691940899932845,32.68,0.0,91.97,77.36,27.44,1011.01,117.95,260.35,14.55,0.9914448613738104,0.1305261922200517,-0.8660254037844385,-0.5000000000000004,-0.433883739117558,-0.9009688679024191,-0.0,0.0,8.307253190060443,8.307253190060443,8.307253190060443,8.307253190060443,8.307253190060443,8.307253190060443,0.0,8.307253190060443,14.55,14.55,14.55,14.55,14.55,14.55,1.4544479884549929e-06,14.55,27.585,27.73,28.46,30.39,31.15,27.745833333333337,0.21804624891637764,30.276875,77.14500000000001,76.93,75.33,69.03,67.75,76.7475,0.5362625289915693,70.09458333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008333333333333334
2025-08-15 06:00:00,8.307253190060443,57.691940899932845,35.48,0.0,155.95,77.72,27.24,1011.07,117.36,259.59,14.55,1.0,6.123233995736766e-17,-0.8660254037844385,-0.5000000000000004,-0.433883739117558,-0.9009688679024191,-0.0,0.0,8.307253190060443,8.307253190060443,8.307253190060443,8.307253190060443,8.307253190060443,8.307253190060443,0.0,8.307253190060443,14.55,14.55,14.55,14.55,14.55,14.55,1.4544479884549929e-06,14.55,27.44,27.585,28.07,30.66,31.03,27.607499999999998,0.23396046674565055,30.219583333333333,77.36,77.14500000000001,75.89,69.47,66.02,77.0525,0.4669448575586429,70.173125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008333333333333334
2025-08-15 06:30:00,8.307253190060443,57.691940899932845,43.29,0.0,116.58,77.94,27.29,1011.18,135.59,248.16,14.55,0.9914448613738104,-0.1305261922200516,-0.8660254037844385,-0.5000000000000004,-0.433883739117558,-0.9009688679024191,-0.0,0.0,8.307253190060443,8.307253190060443,8.307253190060443,8.307253190060443,8.307253190060443,8.307253190060443,0.0,8.307253190060443,14.55,14.55,14.55,14.55,14.55,14.55,1.4544479884549929e-06,14.55,27.24,27.44,27.84,29.86,30.76,27.515833333333333,0.23238796583840982,30.15041666666667,77.72,77.36,76.38,71.18,67.66,77.3125,0.4516608240709868,70.21604166666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008333333333333334
2025-08-15 07:00:00,8.307253190060443,57.691940899932845,60.56,0.0,124.87,74.6,28.29,1011.32,212.66,229.04,14.55,0.9659258262890683,-0.25881904510252063,-0.8660254037844385,-0.5000000000000004,-0.433883739117558,-0.9009688679024191,-0.0,0.0,8.307253190060443,8.307253190060443,8.307253190060443,8.307253190060443,8.307253190060443,8.307253190060443,0.0,8.307253190060443,14.55,14.55,14.55,14.55,14.55,14.55,1.4544479884549929e-06,14.55,27.29,27.24,27.81,29.36,30.57,27.595833333333335,0.38585511097627057,30.099166666666665,77.94,77.72,76.78,73.19,66.99,76.94916666666667,1.2084718311434166,70.18833333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008333333333333334
2025-08-15 07:30:00,8.307253190060443,57.691940899932845,60.73,0.0,130.96,70.48,30.29,1011.36,327.0,205.3,14.55,0.9238795325112868,-0.3826834323650895,-0.8660254037844385,-0.5000000000000004,-0.433883739117558,-0.9009688679024191,-0.0,0.0,8.307253190060443,8.307253190060443,8.307253190060443,8.307253190060443,8.307253190060443,8.307253190060443,0.0,8.307253190060443,14.55,14.55,14.55,14.55,14.55,14.55,1.4544479884549929e-06,14.55,28.29,27.29,27.73,28.63,29.23,28.022499999999997,1.1741113660977067,30.088124999999994,74.6,77.94,76.93,74.21,61.66,75.87416666666667,2.905788045723053,70.08729166666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008333333333333334
2025-08-15 08:00:00,8.307253190060443,57.691940899932845,45.06,0.0,165.28,65.77,31.92,1011.4,440.03,214.07,14.55,0.8660254037844387,-0.4999999999999998,-0.8660254037844385,-0.5000000000000004,-0.433883739117558,-0.9009688679024191,-0.0,0.0,8.307253190060443,8.307253190060443,8.307253190060443,8.307253190060443,8.307253190060443,8.307253190060443,0.0,8.307253190060443,14.55,14.55,14.55,14.55,14.55,14.55,1.4544479884549929e-06,14.55,30.29,28.29,27.585,28.64,30.9,28.745,1.936995095502256,30.106458333333332,70.48,74.6,77.14500000000001,75.19,64.5,73.97833333333332,4.922033793734743,69.91541666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008333333333333334
2025-08-15 08:30:00,8.307253190060443,57.691940899932845,40.14,0.0,153.38,65.38,32.19,1011.49,543.76,211.74,14.55,0.7933533402912352,-0.6087614290087207,-0.8660254037844385,-0.5000000000000004,-0.433883739117558,-0.9009688679024191,-0.0,0.0,8.307253190060443,8.307253190060443,8.307253190060443,8.307253190060443,8.307253190060443,8.307253190060443,0.0,8.307253190060443,14.55,14.55,14.55,14.55,14.55,14.55,1.4544479884549929e-06,14.55,31.92,30.29,27.44,28.46,30.77,29.53666666666666,2.2434051499152856,30.143958333333334,65.77,70.48,77.36,75.33,65.84,71.98166666666667,5.651684409684129,69.828125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008333333333333334
2025-08-15 09:00:00,8.307253190060443,57.691940899932845,43.26,0.0,176.09,65.51,32.53,1011.57,640.15,219.22,14.55,0.7071067811865476,-0.7071067811865475,-0.8660254037844385,-0.5000000000000004,-0.433883739117558,-0.9009688679024191,-0.0,0.0,8.307253190060443,8.307253190060443,8.307253190060443,8.307253190060443,8.307253190060443,8.307253190060443,0.0,8.307253190060443,14.55,14.55,14.55,14.55,14.55,14.55,1.4544479884549929e-06,14.55,32.19,31.92,27.24,28.07,30.71,30.418333333333333,2.1993491461490127,30.189791666666665,65.38,65.77,77.72,75.89,67.04,69.94666666666666,5.363102336024032,69.751875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008333333333333334
2025-08-15 09:30:00,8.307253190060443,57.691940899932845,35.7,0.0,220.59,63.43,32.19,1011.46,712.29,197.78,14.55,0.6087614290087209,-0.793353340291235,-0.8660254037844385,-0.5000000000000004,-0.433883739117558,-0.9009688679024191,0.0,0.0,8.307253190060443,8.307253190060443,8.307253190060443,8.307253190060443,8.307253190060443,8.307253190060443,0.0,8.307253190060443,14.55,14.55,14.55,14.55,14.55,14.55,1.4544479884549929e-06,14.55,32.53,32.19,27.29,27.84,30.69,31.234999999999996,1.6453783759365768,30.18041666666667,65.51,65.38,77.94,76.38,66.75,67.52833333333332,4.178465826911383,69.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000625
